trade_date,side,price,quantity,gross_amount,fee,slippage_cost,realized_pnl,cash,position,equity,note
2025-02-07,BUY,0.5841168,42800,25000.19904,7.500059711999999,4.999040000001198,0.0,24992.300900288,42800,49987.500900287996,"buy_count=1, target_position=50%, close=0.5840, execution_base=0.5840(daily_close_fallback), empty position, previous 2 days rising plus today rising and MA5>MA10>MA20"
2025-02-11,SELL,0.5828833999999999,21400,12473.704759999999,5.0,2.495240000000476,-35.14478985600226,37461.005660288,21400,49937.205660288,"sell_count=1, sell_half, close=0.5830, execution_base=0.5830(daily_close_fallback), max_profit=0.81%, current_profit=-0.22%"
2025-02-13,SELL,0.579884,10700,6204.7588,5.0,1.2412000000000534,-52.16597492800098,43660.764460288,10700,49866.764460288,"sell_count=2, sell_half, close=0.5800, execution_base=0.5800(daily_close_fallback), max_profit=1.15%, current_profit=-0.73%"
2025-02-18,SELL,0.5838831999999999,10700,6247.55024,5.0,1.2497600000002995,-9.374534928001184,49903.314700288,0,49903.314700288,"sell_count=3, clear_position, close=0.5840, execution_base=0.5840(daily_close_fallback), max_profit=1.49%, current_profit=-0.05%"
2025-05-07,BUY,0.5451090000000001,45800,24965.992200000004,7.489797660000001,4.992200000001179,0.0,24929.832702627995,45800,49890.832702628,"buy_count=1, target_position=50%, close=0.5450, execution_base=0.5450(daily_close_fallback), empty position, previous 2 days rising plus today rising and MA5>MA10>MA20"
2025-05-09,SELL,0.5438912,22900,12455.10848,5.0,2.491520000000458,-36.63251883000162,37379.941182628,22900,49837.541182627996,"sell_count=1, sell_half, close=0.5440, execution_base=0.5440(daily_close_fallback), max_profit=1.23%, current_profit=-0.23%"
2025-05-15,SELL,0.5468906,11400,6234.55284,5.0,1.2471600000004246,13.445967219999027,43609.494022628,11500,49899.994022628,"sell_count=2, sell_half, close=0.5470, execution_base=0.5470(daily_close_fallback), max_profit=2.15%, current_profit=0.32%"
2025-05-16,SELL,0.544891,11500,6266.2465,5.0,1.253500000000296,-9.38762605000087,49870.740522628,0,49870.740522628,"sell_count=3, clear_position, close=0.5450, execution_base=0.5450(daily_close_fallback), max_profit=0.32%, current_profit=-0.05%"
2025-06-25,BUY,0.560112,44600,24980.9952,7.49429856,4.995200000000044,0.0,24882.251024068002,44600,49858.251024068006,"buy_count=1, target_position=50%, close=0.5600, execution_base=0.5600(daily_close_fallback), empty position, previous 2 days rising plus today rising and MA5>MA10>MA20"
2025-06-27,BUY,0.5631126,30900,17400.17934,5.220053801999999,3.4793400000005636,0.0,7476.851630266003,75500,49983.351630266,"buy_count=2, target_position=85%, close=0.5630, execution_base=0.5630(daily_close_fallback), position>=50%, close above latest buy price and MA5>MA10>MA20>MA60"
2025-06-30,BUY,0.5721143999999999,13000,7437.487199999999,5.0,1.4871999999994667,0.0,34.36443026600409,88500,50656.364430265996,"buy_count=3, target_position=100%, close=0.5720, execution_base=0.5720(daily_close_fallback), position>=85%, close above latest buy price and MA5>MA10>MA20>MA60"
2025-07-02,SELL,0.559888,44200,24747.049600000002,7.42411488,4.950400000000044,-150.40641637604472,24773.989915386006,44300,49581.98991538601,"sell_count=1, sell_half, close=0.5600, execution_base=0.5600(daily_close_fallback), max_profit=0.87%, current_profit=-0.55%"
2025-07-04,SELL,0.5648869999999999,22100,12484.002699999997,5.0,2.4973000000006573,33.98674925197465,37252.992615386,22200,49795.992615386,"sell_count=2, sell_half, close=0.5650, execution_base=0.5650(daily_close_fallback), max_profit=0.69%, current_profit=0.33%"
2025-07-07,SELL,0.5578884000000001,22200,12385.122480000002,5.0,2.4775199999997666,-121.2057601179227,49633.115095386005,0,49633.115095386005,"sell_count=3, clear_position, close=0.5580, execution_base=0.5580(daily_close_fallback), max_profit=0.33%, current_profit=-0.91%"
2025-07-21,BUY,0.6041208,41100,24829.36488,7.448809464,4.964880000001315,0.0,24796.301405922004,41100,49620.701405922,"buy_count=1, target_position=50%, close=0.6040, execution_base=0.6040(daily_close_fallback), empty position, previous 2 days rising plus today rising and MA5>MA10>MA20"
