trade_date,side,price,quantity,gross_amount,fee,slippage_cost,realized_pnl,cash,position,equity,note
2025-02-07,BUY,0.5841168,42700,24941.78736,7.482536207999999,4.987360000001195,0.0,25050.730103792,42700,49987.530103792,"buy_count=1, cash_ratio=50%, close=0.5840, 3 rising days and MA5>MA10>MA20"
2025-02-11,SELL,0.5828833999999999,21300,12415.41642,5.0,2.4835800000004737,-35.00392635199989,37461.146523792,21400,49937.346523791995,"sell_count=1, sell_half, close=0.5830, max_profit=0.81%, current_profit=-0.22%"
2025-02-13,SELL,0.579884,10700,6204.7588,5.0,1.2412000000000534,-52.165974927999784,43660.905323792,10700,49866.905323792,"sell_count=2, sell_half, close=0.5800, max_profit=1.15%, current_profit=-0.73%"
2025-02-14,SELL,0.5848829999999999,10700,6258.248099999999,5.0,1.251900000000361,1.3233250719999523,49914.153423792,0,49914.153423792,"sell_count=3, clear_position, close=0.5850, max_profit=1.15%, current_profit=0.12%"
2025-05-07,BUY,0.5451090000000001,45700,24911.481300000003,7.47344439,4.981300000001177,0.0,24995.198679401994,45700,49901.698679402,"buy_count=1, cash_ratio=50%, close=0.5450, 3 rising days and MA5>MA10>MA20"
2025-05-09,SELL,0.5438912,22800,12400.719360000001,5.0,2.480640000000456,-36.49438556000162,37390.91803940199,22900,49848.51803940199,"sell_count=1, sell_half, close=0.5440, max_profit=1.23%, current_profit=-0.23%"
2025-05-15,SELL,0.5468906,11400,6234.55284,5.0,1.2471600000004246,13.445967219999027,43620.470879402,11500,49910.970879402,"sell_count=2, sell_half, close=0.5470, max_profit=2.15%, current_profit=0.32%"
2025-05-16,SELL,0.544891,11500,6266.2465,5.0,1.253500000000296,-9.38762605000087,49881.717379402,0,49881.717379402,"sell_count=3, clear_position, close=0.5450, max_profit=2.15%, current_profit=-0.05%"
2025-06-25,BUY,0.560112,44500,24924.984000000004,7.477495200000001,4.984000000000044,0.0,24949.255884201993,44500,49869.25588420199,"buy_count=1, cash_ratio=50%, close=0.5600, 3 rising days and MA5>MA10>MA20"
2025-07-01,SELL,0.5678864,22200,12607.078080000001,5.0,2.5219199999985786,163.86133407999773,37551.33396420199,22300,50217.733964201994,"sell_count=1, sell_half, close=0.5680, max_profit=2.09%, current_profit=1.38%"
2025-07-02,SELL,0.559888,11100,6214.756800000001,5.0,1.243200000000011,-9.351572960000706,43761.090764201996,11200,50033.090764201996,"sell_count=2, sell_half, close=0.5600, max_profit=2.09%, current_profit=-0.05%"
2025-07-03,SELL,0.5668865999999999,11200,6349.129919999999,5.0,1.270080000000462,68.99354367999766,50105.220684201995,0,50105.220684201995,"sell_count=3, clear_position, close=0.5670, max_profit=2.09%, current_profit=1.20%"
2025-07-21,BUY,0.6041208,41400,25010.60112,7.503180335999999,5.0011200000013245,0.0,25087.116383865996,41400,50092.71638386599,"buy_count=1, cash_ratio=50%, close=0.6040, 3 rising days and MA5>MA10>MA20"
2025-07-22,BUY,0.6061211999999999,24800,15031.805759999997,5.0,3.0057599999983253,0.0,10050.310623865998,66200,50167.510623865994,"buy_count=2, cash_ratio=70%, close=0.6060, 3 rising days and MA5>MA10>MA20>MA60"
2025-07-30,SELL,0.629874,33100,20848.829400000002,6.25464882,4.170599999998659,815.1197210120015,30892.885375046004,33100,51745.885375046004,"sell_count=1, sell_half, close=0.6300, max_profit=5.77%, current_profit=4.12%"
2025-07-31,SELL,0.6218756,16500,10260.9474,5.0,2.052600000000404,272.47283813377607,41148.832775046,16600,51474.032775046,"sell_count=2, sell_half, close=0.6220, max_profit=5.77%, current_profit=2.80%"
2025-08-01,SELL,0.6168766,16600,10240.15156,5.0,2.048439999999929,191.17109169822356,51383.984335046,0,51383.984335046,"sell_count=3, clear_position, close=0.6170, max_profit=5.77%, current_profit=1.97%"
2025-08-13,BUY,0.6631326000000001,38700,25663.231620000002,7.698969486,5.1316200000014796,0.0,25713.05374556,38700,51371.153745560005,"buy_count=1, cash_ratio=50%, close=0.6630, 3 rising days and MA5>MA10>MA20"
2025-08-14,BUY,0.6641328,23200,15407.880959999999,5.0,3.080959999998445,0.0,10300.17278556,61900,51401.772785559995,"buy_count=2, cash_ratio=70%, close=0.6640, 3 rising days and MA5>MA10>MA20>MA60"
2025-09-04,SELL,0.7828434000000001,30900,24189.861060000003,7.256958318000001,4.838939999998493,3673.883958239074,34482.776887242,31000,58755.776887242,"sell_count=1, sell_half, close=0.7830, max_profit=29.27%, current_profit=17.97%"
2025-09-09,SELL,0.8078384000000001,15500,12521.495200000001,5.0,2.5047999999997517,2228.949496978468,46999.272087242,15500,59523.272087242,"sell_count=2, sell_half, close=0.8080, max_profit=29.27%, current_profit=21.74%"
2025-09-17,BUY,0.890178,39100,34805.959800000004,10.441787940000001,6.959800000000449,0.0,12182.870499302,54600,60776.870499302,"buy_count=3, cash_ratio=100%, close=0.8900, 3 rising days and MA5>MA10>MA20>MA60"
2025-10-10,SELL,0.8998200000000001,27300,24565.086000000003,7.3695258,4.913999999998852,2005.7428287192347,36740.586973502,27300,61310.586973502,"sell_count=1, sell_half, close=0.9000, max_profit=15.49%, current_profit=8.95%"
2025-10-13,SELL,0.8968206000000001,13600,12196.760160000002,5.0,2.4398399999991938,957.0773182952967,48932.347133502,13700,61221.247133502,"sell_count=2, sell_half, close=0.8970, max_profit=15.49%, current_profit=8.59%"
2025-10-14,SELL,0.854829,13700,11711.157299999999,5.0,2.3427000000004417,388.86649622393674,60638.504433502,0,60638.504433502,"sell_count=3, clear_position, close=0.8550, max_profit=15.49%, current_profit=3.50%"
2025-12-08,BUY,0.935187,32400,30300.0588,9.09001764,6.058799999997966,0.0,30329.355615862,32400,60623.355615862005,"buy_count=1, cash_ratio=50%, close=0.9350, 3 rising days and MA5>MA10>MA20"
2025-12-11,SELL,0.9268146,16200,15014.39652,5.0,3.003480000000036,-145.17788881999905,45338.752135862,16200,60356.152135862,"sell_count=1, sell_half, close=0.9270, max_profit=1.34%, current_profit=-0.91%"
2025-12-12,SELL,0.9348130000000001,8100,7571.985300000001,5.0,1.5146999999994915,-10.301904409998947,52905.737435862,8100,60479.237435862,"sell_count=2, sell_half, close=0.9350, max_profit=1.34%, current_profit=-0.05%"
2025-12-15,SELL,0.9168166000000001,8100,7426.214460000001,5.0,1.4855399999995522,-156.07274440999913,60326.951895862,0,60326.951895862,"sell_count=3, clear_position, close=0.9170, max_profit=1.34%, current_profit=-1.97%"
2025-12-23,BUY,0.9411881999999999,32000,30118.022399999998,9.03540672,6.022399999999095,0.0,30199.894089142006,32000,60311.894089142006,"buy_count=1, cash_ratio=50%, close=0.9410, 3 rising days and MA5>MA10>MA20"
2025-12-24,BUY,0.9481896,19000,18015.6024,5.404680719999999,3.6024000000002276,0.0,12178.887008422007,51000,60526.88700842201,"buy_count=2, cash_ratio=70%, close=0.9480, 3 rising days and MA5>MA10>MA20>MA60"
2025-12-26,SELL,0.9428114,25500,24041.6907,7.212507209999999,4.809299999999572,-39.55425092999593,36213.36520121201,25500,60259.86520121201,"sell_count=1, sell_half, close=0.9430, max_profit=0.10%, current_profit=-0.11%"
2025-12-29,SELL,0.9418116,12700,11961.007319999999,5.0,2.392679999999714,-33.804916676233205,48169.372521212004,12800,60226.972521212,"sell_count=2, sell_half, close=0.9420, max_profit=0.10%, current_profit=-0.22%"
2025-12-31,SELL,0.9328134000000001,12800,11940.011520000002,5.0,2.388479999999049,-149.20868704376062,60104.384041212004,0,60104.384041212004,"sell_count=3, clear_position, close=0.9330, max_profit=0.73%, current_profit=-1.17%"
2026-01-07,BUY,0.9721943999999999,30900,30040.806959999998,9.012242087999999,6.006959999997774,0.0,30054.564839124007,30900,60089.364839124006,"buy_count=1, cash_ratio=50%, close=0.9720, 3 rising days and MA5>MA10>MA20"
2026-01-13,SELL,0.954809,15400,14704.0586,5.0,2.9413999999990947,-277.2266981279982,44753.62343912401,15500,59556.12343912401,"sell_count=1, sell_half, close=0.9550, max_profit=0.57%, current_profit=-1.80%"
2026-01-14,SELL,0.9688062,7700,7459.807739999999,5.0,1.4922600000001673,-33.334909063999625,52208.431179124,7800,59766.631179124,"sell_count=2, sell_half, close=0.9690, max_profit=0.57%, current_profit=-0.36%"
2026-01-15,SELL,0.974805,7800,7603.479,5.0,1.5209999999995727,13.08774510400102,59806.910179124,0,59806.910179124,"sell_count=3, clear_position, close=0.9750, max_profit=0.57%, current_profit=0.26%"
2026-01-16,BUY,0.9831966,30400,29889.176639999998,8.966752991999998,5.976639999999733,0.0,29908.766786132004,30400,59791.966786132005,"buy_count=1, cash_ratio=50%, close=0.9830, 3 rising days and MA5>MA10>MA20"
2026-01-23,SELL,0.9778044,15200,14862.62688,5.0,2.9731199999994296,-91.44481649599909,44766.393666132004,15200,59631.993666132,"sell_count=1, sell_half, close=0.9780, max_profit=0.26%, current_profit=-0.56%"
2026-01-26,SELL,0.9708057999999999,7600,7378.12408,5.0,1.4759200000002526,-101.41176824800013,52139.517746132005,7600,59519.117746132004,"sell_count=2, sell_half, close=0.9710, max_profit=0.26%, current_profit=-1.27%"
2026-01-27,SELL,0.9788042,7600,7438.9119200000005,5.0,1.4880799999997585,-40.62392824799958,59573.429666132004,0,59573.429666132004,"sell_count=3, clear_position, close=0.9790, max_profit=0.26%, current_profit=-0.46%"
2026-04-14,BUY,1.0232046,29100,29775.253859999997,8.932576157999998,5.9538599999999775,0.0,29789.243229974007,29100,59558.543229974006,"buy_count=1, cash_ratio=50%, close=1.0230, 3 rising days and MA5>MA10>MA20"
2026-04-20,BUY,1.0692138,16400,17535.10632,5.260531895999999,3.5063200000006844,0.0,12248.876378078006,45500,60888.37637807801,"buy_count=2, cash_ratio=70%, close=1.0690, 3 rising days and MA5>MA10>MA20>MA60"
2026-04-23,SELL,1.0807838,22700,24533.792260000002,7.360137678,4.907739999997474,916.1604819082505,36775.30850040001,22800,61422.108500400005,"sell_count=1, sell_half, close=1.0810, max_profit=5.09%, current_profit=3.93%"
2026-04-24,SELL,1.0717856000000001,11400,12218.355840000002,5.0,2.444159999999407,356.21501617987957,48988.66434040001,11400,61209.464340400016,"sell_count=2, sell_half, close=1.0720, max_profit=5.09%, current_profit=3.07%"
2026-04-27,SELL,1.0807838,11400,12320.93532,5.0,2.464679999998731,458.7944961798791,61304.59966040001,0,61304.59966040001,"sell_count=3, clear_position, close=1.0810, max_profit=5.09%, current_profit=3.93%"
2026-05-06,BUY,1.1472294,26700,30631.024980000002,9.189307494,6.124980000001234,0.0,30664.385372906007,26700,61289.28537290601,"buy_count=1, cash_ratio=50%, close=1.1470, 3 rising days and MA5>MA10>MA20"
2026-05-07,BUY,1.1682336,15600,18224.44416,5.467333247999999,3.6441600000008734,0.0,12434.473879658006,42300,61840.873879658,"buy_count=2, cash_ratio=70%, close=1.1680, 3 rising days and MA5>MA10>MA20>MA60"
2026-05-14,SELL,1.2337532,21100,26032.19252,7.809657755999999,5.20747999999982,1647.086077996807,38458.85674190201,21200,64619.656741902014,"sell_count=1, sell_half, close=1.2340, max_profit=8.97%, current_profit=6.81%"
2026-05-15,SELL,1.2227554,10600,12961.20724,5.0,2.592760000000416,709.7927417525956,51415.063981902014,10600,64378.86398190202,"sell_count=2, sell_half, close=1.2230, max_profit=8.97%, current_profit=5.86%"
2026-05-18,SELL,1.2207558,10600,12940.011480000001,5.0,2.588520000000294,688.5969817525956,64350.075461902015,0,64350.075461902015,"sell_count=3, clear_position, close=1.2210, max_profit=8.97%, current_profit=5.68%"
2026-05-26,BUY,1.3242648000000001,24200,32047.208160000002,9.614162448,6.408160000001573,0.0,32293.253139454013,24200,64334.053139454016,"buy_count=1, cash_ratio=50%, close=1.3240, 3 rising days and MA5>MA10>MA20"
2026-05-29,SELL,1.3087382,12100,15835.732220000002,5.0,3.167779999998399,-197.6789412240008,48123.98535945402,12100,63962.88535945402,"sell_count=1, sell_half, close=1.3090, max_profit=2.06%, current_profit=-1.18%"
2026-06-01,SELL,1.2577484,6000,7546.490400000001,5.0,1.5095999999994447,-406.48207664000023,55665.47575945402,6100,63339.27575945402,"sell_count=2, sell_half, close=1.2580, max_profit=2.06%, current_profit=-5.03%"
